128,70,0.251553,0.0603591,,14.1907,8.89656,14.3323,-0.362551,-0.833859,0.416215
129,70,0.116297,0.115954,,14.2911,9.006,14.299,0.941553,0.0784197,0.327611
130,72,0.373562,0.123467,,14.5828,7.638,13.4708,0.58598,-0.26855,0.764532
131,72,0.409399,0.110678,,14.6558,7.64256,13.247,0.89106,-0.222765,-0.395459
132,74,0.736534,0.0987928,,14.1999,6.11952,13.5565,0.470447,-0.420999,0.775525
133,74,0.11184,0.158472,,14.0038,6.2244,13.2613,-0.407724,-0.896992,-0.170781
134,75,0.0991207,0.162828,,14.551,6.34752,12.5331,0.828282,-0.552054,-0.0958382
135,75,0.827432,0.107325,,14.4507,6.36576,12.1284,-0.143214,-0.0220441,-0.989446
136,78,0.239388,0.0786708,,14.5555,10.6248,13.3327,-0.076027,-0.076027,0.994203
137,78,0.174309,0.105531,,14.6011,10.6886,13.2709,0.418796,0.628194,0.65573
138,80,0.0759858,0.101329,,14.8747,11.0808,12.7234,0,0.479035,0.877796
139,80,0.343511,0.094465,,14.9704,11.1766,12.6044,0.55748,0.663733,-0.498673
140,82,0.374871,0.0802934,,13.7804,10.8711,13.2471,0.0973669,0.0973669,0.990474
141,82,0.197583,0.0717202,,13.8032,10.9395,13.0852,0.415522,0.8771,0.240911
142,83,0.262211,0.0664323,,13.4018,10.8574,13.1138,-0.521717,-0.173906,0.835205
143,83,0.0465188,0.0528751,,13.4748,10.903,13.0043,0.197772,0.980248,0
144,86,0.082848,0.160085,,15.4219,9.04248,11.6525,0.881131,-0.110081,0.459881
145,86,0.253774,0.119628,,15.3444,9.1656,11.6143,-0.323121,0.934373,-0.150134
146,87,0.237832,0.19553,,15.1438,8.33568,11.1622,0.498249,-0.843618,-0.20014
147,87,0.327095,0.138178,,15.0252,8.44056,11.0336,-0.362585,0.0278818,-0.931533
148,88,0.184823,0.115279,,13.607,8.78712,11.7382,-0.690936,-0.0493445,0.72123
149,88,0.7589,0.07667,,13.5888,8.42232,11.643,-0.216367,-0.973409,-0.0752409
150,89,0.381336,0.1044,,13.4702,9.04704,11.1955,-0.956637,0.28699,-0.0498249
151,89,0.26497,0.123718,,13.6572,8.9604,11.0765,0.0347213,-0.240933,-0.969921
152,90,0.42587,0.105977,,14.2637,11.2951,10.8576,0.0857069,0.920939,0.380164
153,90,0.209288,0.129351,,14.1862,11.1537,10.7099,-0.566209,0.523202,-0.63692
154,91,0.229739,0.134474,,15.2031,11.2358,10.829,0.635066,0.317315,0.704274
155,91,0.21604,0.134079,,15.1803,11.2723,10.6862,0.464265,0.675337,-0.573043
156,92,0.0092001,0.210247,,15.7092,9.7584,9.39622,1,0,0
157,92,0.417577,0.162045,,15.5542,9.63528,9.32007,-0.720587,-0.589687,-0.364723
158,93,0.679175,0.215339,,14.5464,10.6248,9.29152,-0.778886,0.510326,-0.364561
159,93,0.738609,0.361721,LMB,14.9568,10.5153,9.08212,0.395067,0.172892,-0.902236
160,97,0.357344,0.0891238,,11.3453,10.3102,9.44382,0.919,0.331612,-0.213241
161,97,0.464407,0.134318,,11.1857,10.292,9.25342,0.0198104,0.176784,-0.98405
162,98,0.202113,0.261173,AcRMB,11.555,8.01648,10.0436,0.721877,-0.631728,-0.282512
163,98,0.774386,0.158772,,11.2222,7.81128,9.97216,-0.671241,-0.694848,-0.258114
164,99,0.188032,0.117804,,11.3133,8.82816,9.52002,0.921651,0.388019,0
165,99,0.200318,0.155357,,11.2039,8.7552,9.42957,-0.227638,-0.364221,-0.903064
166,100,0.770265,0.0887072,,10.9166,8.83272,11.2573,0.52099,-0.0355202,0.852823
167,100,0.646154,0.0765379,,10.6977,8.9376,11.2383,-0.056488,0.282285,0.957666
168,101,0.251012,0.103856,,10.26,8.60016,10.0911,-0.435834,-0.72666,-0.531049
169,101,0.589038,0.082003,,10.1414,8.70048,9.91981,-0.588282,0.0309657,-0.808063
170,102,0.356306,0.0823636,,9.06983,9.36168,11.9904,0.332579,-0.537518,0.774897
171,102,0.183577,0.107288,,9.05163,9.44376,11.7715,0.447224,-0.149038,-0.881917
